Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
1700.74,19.4492,19.3818,100.408,1437.56,24.1129,304.184,17.9583,
1723.12,19.4314,18.464,130.118,4474.69,22.6777,308.186,23.2722,
1716.42,20.3294,19.6433,117.68,7170.5,25.3314,306.988,21.0476,
1214.34,21.1277,18.9754,131.292,9390.11,14.2953,217.189,23.4822,
1695.21,20.3114,19.1387,109.071,4714.4,23.8338,303.196,19.5077,
1708.43,19.2899,19.1478,118.566,25275.7,22.8855,305.56,21.206,
1796.41,18.5549,19.0391,122.829,1583.95,22.0945,321.295,21.9685,
1754.91,18.6602,19.2734,112.468,8368.11,22.3736,313.873,20.1153,
-645173,2379.11,46.5787,2082.25,0,21.0107,-115392,372.419,
634.885,71.6844,21.4773,2053.86,2.50516,11.3358,113.552,367.342,
1768.21,18.9638,18.4384,145.025,753.737,7.97803,316.252,25.9384,
1855.95,18.2574,14.9308,237,107.553,18.7118,331.944,42.3884,
1708.2,20.7709,19.0522,105.281,2975.6,22.0585,305.519,18.8299,
1299.73,21.0358,19.2717,133.936,10280.8,19.636,232.463,23.955,
1690.63,18.5956,19.6806,129.418,6890.29,19.6739,302.376,23.1469,
1757.44,16.8324,19.0578,-739287,1157.07,-14.8193,314.325,-0,
1711.2,21.9518,18.2926,93.5156,5815.6,22.3248,306.054,16.7257,
943.352,15.8275,19.7785,104.914,4509.7,19.6676,168.722,18.7643,
1727.57,17.8429,19.0286,91.0201,4417.61,28.1731,308.984,16.2793,
1670.95,20.9464,18.7121,108.712,3390.58,24.1297,298.856,19.4437,
1718.87,18.4546,19.1138,129.894,587.246,11.8077,307.427,23.2321,
1707.37,19.0323,19.4999,99.3704,3540.06,21.9466,305.371,17.7728,
1743.97,20.4819,18.3199,115.281,12295.5,21.0081,311.917,20.6184,
1818.63,19.5398,18.726,94.9669,8390.41,25.1924,325.269,16.9852,
800,0,1,400,0,1,143.083,71.5417,
1709.18,19.9497,18.8269,136.108,593.823,15.2269,305.693,24.3435,
1775.54,20.4827,18.7487,94.8808,4025.18,24.228,317.562,16.9698,
1728.47,20.7017,18.4336,84.8495,5990.67,27.243,309.144,15.1757,
243.606,11.6487,20.8964,110.528,14365.4,23.5395,43.5699,19.7684,
1723.92,18.7333,19.5262,118.875,9864.12,21.3101,308.33,21.2613,
1743.52,17.8714,18.9741,117.954,4859.08,23.0461,311.836,21.0965,
1706.14,19.3069,19.0395,137.743,8798.33,19.7936,305.15,24.6359,
1759.38,20.5841,18.7356,91.8746,793.113,23.3135,314.673,16.4322,
1707.01,21.5007,18.8525,142.155,9448.8,13.1441,305.306,25.425,
450.373,7.8667,20.6105,94.453,13359.3,29.19,80.551,16.8933,
1694.53,15.9771,21.2822,131.321,332.343,6.42206,303.074,23.4872,
1741.8,19.7376,19.2163,-759201,14508.8,-1044.39,311.527,-0,
1141.04,16.4109,19.8557,104.816,16153.2,24.5502,204.081,18.7468,
1796.08,19.2871,18.386,103.02,988.346,21.3711,321.236,18.4255,
1089.42,18.2479,20.0332,124.832,1548.11,12.7084,194.847,22.3267,
1804.04,18.139,18.0628,102.105,4177.34,23.8926,322.661,18.262,
1813.28,17.4918,19.2179,112.825,8242.96,22.3765,324.312,20.1793,
1779.33,18.8523,18.7942,168.362,10667.3,9.70034,318.24,30.1122,
1776.31,17.7207,18.4125,131.535,7703.6,20.1477,317.701,23.5256,
1706.63,20.8852,18.8174,192.037,3209.15,8.72921,305.239,34.3466,
282.77,7.69766,20.2509,130.114,3655.39,20.4469,50.5746,23.2714,
1771.92,18.4796,19.0496,202.556,2268.21,6.49559,316.915,36.228,
1758.73,19.0152,18.8365,54.3181,3427.58,33.8106,314.555,9.71502,
1737.91,17.5046,20.6991,152.84,388.666,8.14692,310.833,27.3361,
1726.71,18.6345,19.3833,325.371,942.272,-11.0088,308.83,0,
1711.97,17.9992,20.7441,146.034,417.319,7.09924,306.193,26.1188,
1770.74,21.9703,18.7144,-535277,337.751,-1.8929,316.705,-0,
1715.86,19.3256,19.135,113.307,12532.1,23.2419,306.888,20.2654,
1737.5,16.2825,19.7097,81.3994,3299.69,29.2126,310.759,14.5586,
1697.51,20.7959,18.9739,70.2477,1263.72,28.2548,303.606,12.5641,
1460.41,17.5221,19.2837,-455073,212.475,-38.8909,261.2,-0,
1707.43,18.1952,19.1256,111.458,7285.15,21.6603,305.381,19.9347,
