Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
3984.03,20.8051,18.031,115.256,2369.57,21.2256,712.56,20.6139,
3969.4,20.9716,18.1896,72.4257,1983.52,25.5023,709.944,12.9536,
3823.97,21.6713,17.9449,118.843,8062.26,24.5896,683.933,21.2556,
4349.82,15.5857,12.3619,988.812,87.5416,17.5814,777.983,176.853,
4031.47,21.1324,17.0994,112.366,1544.04,18.8591,721.046,20.0971,
3968.45,21.9285,17.9348,4823.62,0,-38.5293,709.774,0,
4062.31,20.7444,16.7886,434.331,157.883,11.6184,726.562,77.6819,
4031.07,20.4586,17.6499,122.439,4957.86,20.3812,720.974,21.8988,
1199.56,18.1668,19.0642,120.468,2798.03,20.1712,214.547,21.5463,
3941.48,20.2116,17.8088,103.792,838.661,14.7193,704.95,18.5637,
4112.77,17.2811,14.7883,786.661,107.46,16.6457,735.586,140.698,
3934.49,21.5706,18.1033,4338.28,0,-14.7656,703.7,0,
1372.67,60.5162,19.7456,4395.32,0,9.88851,245.507,786.122,
4041.28,20.7007,17.6382,158.827,7765.55,9.19707,722.8,28.4068,
4122.79,20.8443,15.9532,387.914,147.594,11.0197,737.379,69.3801,
4363.61,13.5362,10.8523,1223.23,77.5059,18.5809,780.451,218.779,
4042.03,21.1638,17.3044,103.818,1888.31,19.5215,722.934,18.5683,
3949.55,20.9616,17.6298,109.353,6059.62,25.4421,706.394,19.5582,
4419.36,11.932,10.0933,1300.64,72.5034,19.3983,790.421,232.625,
119710,4266.46,1.10344,4124.85,0,17.868,21410.6,737.747,
3988.85,21.6413,17.7811,121.659,11709.1,21.4459,713.422,21.7593,
1612.18,60.9258,19.1948,4900.1,2.5007,9.31399,288.344,876.403,
4003,20.8949,17.6881,167.224,1527.72,8.72872,715.953,29.9087,
2444,19.6547,18.7592,116.065,2749.44,21.0145,437.119,20.7586,
4178.56,18.4465,15.2366,689.048,117.512,14.7789,747.352,123.239,
3691.19,20.7875,18.1025,111.825,918.957,17.4662,660.185,20.0003,
3551.03,21.3055,17.7805,96.5917,2627.09,22.5314,635.117,17.2758,
2135.6,20.2448,18.6736,85.1888,15029,31.3482,381.96,15.2364,
4088.3,20.1981,17.1489,104.39,4136.95,23.2718,731.21,18.6706,
174723,-4.72897,90.2444,-169599,0,91.1123,31249.9,-30333.5,
3618.82,20.5687,17.4885,119.51,2468.62,21.5059,647.24,21.3748,
3952.63,21.4728,18.036,130.524,8529.34,19.4304,706.944,23.3447,
3977.6,21.2423,17.7357,82.6818,3276.92,26.1967,711.411,14.788,
