Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
963.374,18.1096,19.0535,156.542,21924.2,0.0013318,172.303,27.9981,
993.898,17.5279,19.6339,113.114,2154.11,20.8638,177.763,20.2309,
991.416,11.5561,23.0302,189.865,303.074,4.0086,177.319,33.9582,
993.977,21.5439,18.4419,124.892,2159.5,23.3983,177.777,22.3374,
995.538,21.8299,18.8972,103.416,2907.95,25.0597,178.056,18.4964,
960.024,19.7855,20.1605,115.641,15352.1,23.8356,171.704,20.6828,
1020.14,18.5871,19.8952,91.4269,3947.78,28.0119,182.457,16.3521,
955.882,16.2854,20.123,96.9711,6862.57,26.8607,170.964,17.3437,
969.693,21.2562,20.0036,134.037,3197.94,20.6205,173.434,23.9731,
989.959,16.177,19.8812,158.479,492.461,8.05654,177.058,28.3447,
979.981,20.7156,20.095,111.736,6189.59,21.5097,175.274,19.9844,
1016.14,16.991,19.4907,118.229,10088,20.1828,181.74,21.1458,
963.107,17.4637,20.0888,111.247,23316.6,23.1076,172.256,19.897,
1027.78,17.868,19.4554,114.754,6087.29,21.2865,183.823,20.5242,
1011.73,20.255,19.2878,118.909,5590.57,22.1512,180.951,21.2674,
993.188,19.3831,19.0789,107.461,4145.1,23.9081,177.636,19.2198,
986.274,16.6358,20.1309,107.969,9943.74,23.5355,176.399,19.3107,
1002.61,21.2739,18.8498,107.628,1088.48,22.2533,179.321,19.2497,
1056.19,17.585,19.1587,101.282,4809.51,23.3339,188.904,18.1147,
952.04,19.9075,20.2494,130.663,3463.9,18.3603,170.276,23.3695,
970.916,18.6652,19.6822,106.638,4239.78,24.2398,173.652,19.0726,
997.759,17.8007,19.6242,83.1163,7010.34,27.7537,178.453,14.8657,
1008.23,16.6209,19.7166,98.6237,4529.51,22.7771,180.327,17.6393,
932.567,23.4675,19.7049,99.2282,1298.73,22.7826,166.793,17.7474,
1014.95,18.7135,19.116,101.837,1442.89,25.6678,181.528,18.2139,
962.278,20.5783,19.6983,50.8129,5335.65,41.0902,172.107,9.08811,
949.395,20.2671,19.7928,104.469,2993.18,22.6342,169.803,18.6847,
989.103,21.3796,19.1519,110.422,3581.93,22.2421,176.905,19.7495,
977.939,17.4161,20.2543,97.5629,1169.29,20.8322,174.908,17.4495,
1003.97,20.8885,19.7122,115.375,3986.87,22.5801,179.564,20.6354,
923.714,21.8583,20.4629,100.052,1581.84,22.3778,165.21,17.8947,
910.482,22.0583,20.3509,81.6387,7564.73,29.7072,162.843,14.6014,
1020.18,18.7225,17.6785,109.284,2115.21,24.5536,182.463,19.5459,
-169792,-1.38935,-4.84233,52.3388,22.5651,25.0014,-0,9.36101,
983.636,20.7054,19.5416,105.243,2195.32,22.4643,175.927,18.8231,
953.289,18.7412,20.5885,95.6727,3064.47,25.6007,170.5,17.1115,
1000.32,17.6263,19.481,111.484,9213.52,23.3569,178.911,19.9394,
1004.14,19.2256,19.007,83.1927,3249.52,31.4663,179.595,14.8794,
989.528,19.1718,19.536,131.601,513.074,12.8134,176.981,23.5375,
966.104,17.4754,19.7797,93.4485,4443.96,26.4923,172.792,16.7136,
968.036,17.091,20.7266,103.554,14853.4,23.3929,173.137,18.521,
985.639,19.3354,19.1643,115.4,1969.22,19.7067,176.286,20.6398,
1014.7,18.8803,19.4611,104.454,1718.51,25.5193,181.483,18.6819,
971.695,17.797,19.7808,119.836,773.553,22.1596,173.792,21.4332,
982.891,20.0462,19.8803,137.529,3602.09,22.6149,175.794,24.5976,
970.897,21.6768,19.4189,98.9428,4322.62,24.8246,173.649,17.6963,
981.465,20.8181,19.5564,129.445,4187.78,19.4263,175.539,23.1518,
993.369,17.7534,19.6948,159.489,3203.91,8.11239,177.668,28.5253,
1036.48,15.3567,19.4247,76.9836,1399.81,24.3271,185.378,13.7688,
1002.02,20.6837,18.9449,108.59,2615.04,21.9022,179.215,19.4218,
1032.26,15.4014,19.7158,112.895,6812.03,23.0458,184.624,20.1917,
1024.73,16.4303,19.6776,122.416,1529.99,20.79,183.277,21.8945,
