Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
550.47,12.9752,20.7994,549.51,2183.39,21.6822,98.4539,98.2821,
556.159,14.6189,17.9256,53.8839,117.788,12.0139,99.4714,9.63737,
527.846,14.9323,21.3389,81.2731,1838.64,23.693,94.4075,14.536,
592.653,-4.78147,26.5651,722.118,117.515,10.4682,105.999,129.154,
563.347,16.9687,19.7324,30.9214,233.289,1.02589,100.757,5.53042,
599.97,11.1018,11.9991,130.619,82.5883,23.0313,107.307,23.3617,
-773418,-0.668329,-149.28,792.962,2419.41,9.16267,-0,141.825,
572.904,11.4937,13.3191,141.617,77.7557,19.875,102.466,25.3288,
563.641,7.22658,8.29671,226.994,57.4722,22.9698,100.81,40.5988,
546.526,18.7738,19.241,614.464,6054.49,21.0189,97.7484,109.899,
541.691,17.5161,19.3388,26.5281,257.96,5.47941e-05,96.8838,4.74466,
529.963,21.3348,20.1299,600.859,4070.06,20.6849,94.7861,107.466,
568.876,15.235,19.5834,264.044,4408.94,19.5027,101.746,47.2253,
503.057,16.2713,20.9203,561.791,879.1,20.595,89.9738,100.479,
504.785,20.9142,21.0852,-380.411,0,-4.05389,90.283,-0,
511.422,17.7611,20.4775,693.094,633.959,11.2026,91.47,123.963,
612.867,13.1926,13.9327,81.3735,82.6817,25.0076,109.614,14.554,
998.8,0.345665,-0.406524,578.858,7.51829,20.6762,0,103.531,
523.078,18.6566,21.0959,86.5976,4454.89,30.0397,93.5546,15.4883,
529.285,20.1503,19.9892,479.072,2293.64,23.4063,94.6649,85.684,
526.852,15.8897,20.1285,860.949,2034.26,6.15764,94.2296,153.984,
530.456,18.9059,20.1999,393.504,1348.26,26.7457,94.8743,70.3798,
503.7,22.7286,20.202,79.3432,1619.66,19.9048,90.0888,14.1909,
537.578,11.8816,21.2897,747.794,833.746,13.6859,96.1481,133.746,
513.989,18.1267,21.352,513.592,1981.96,21.6343,91.929,91.858,
556.507,7.40312,5.85077,294.299,52.6857,21.4171,99.5336,52.6366,
529.929,15.6431,19.9444,810.203,5124.7,7.01989,94.78,144.908,
562.472,16.1346,19.0212,212.882,7874.81,21.1206,100.6,38.0748,
550.383,15.9103,19.4442,19.5606,252.746,1.17734e-05,98.4383,3.49849,
548.966,19.0416,18.9876,65.7077,157.986,2.66374,98.1848,11.7521,
529.311,18.2727,20.0183,32.3715,183.161,3.56871,94.6694,5.78979,
534.838,17.9864,20.1889,204.397,5860.86,23.2962,95.6579,36.5572,
528.339,14.2712,19.8763,8.84431,434.208,0.0148002,94.4957,1.58184,
591.116,14.4951,15.2863,95.5161,92.4575,18.0864,105.724,17.0835,
800,0,1,400,0,1,143.083,71.5417,
560.018,15.2007,20.1134,585.984,9812.96,20.471,100.161,104.806,
592.63,9.4197,20.2402,421.287,1158.37,25.2238,105.994,75.3489,
559.796,15.2397,20.325,36.3266,298.578,9.75635e-06,100.122,6.49716,
534.341,15.4348,20.6505,46.468,167.503,2.64546,95.5691,8.31099,
507.522,21.4464,20.0462,29.9396,187.839,3.38629,90.7724,5.35481,
800,0,1,400,0,1,143.083,71.5417,
515.651,18.6572,20.517,515.995,5659.65,23.3552,92.2263,92.2878,
591.343,15.0524,12.2361,118.173,87.4166,23.5323,105.764,21.1356,
539.015,15.4951,19.4867,550.856,7013.89,21.2436,96.4051,98.5228,
800,0,1,400,0,1,143.083,71.5417,
589.233,12.9761,10.0402,153.037,77.8368,23.5856,105.387,27.3714,
515.113,18.2063,20.8642,26.0456,173.102,1.42513,92.1301,4.65837,
789.782,58.7851,19.4598,593.05,0,7.70964,141.256,106.069,
532.003,15.5084,19.0064,50.224,132.924,7.39856,95.151,8.98276,
553.035,18.1585,18.2072,39.1455,127.62,9.78998,98.9126,7.00134,
502.058,15.9519,21.5893,581.763,3168.36,20.0246,89.7951,104.051,
611.949,9.31787,19.5259,482.504,2661.98,21.4291,109.45,86.2979,
584.78,13.5432,19.5129,58.8872,1439.33,20.5353,104.59,10.5322,
529.21,21.4211,18.6706,36.5709,188.192,1.10095,94.6515,6.54086,
103.48,-1.37968,-14.7446,32.616,42.671,33.6311,0,5.83351,
559.069,13.4736,20.9802,483.945,4249.87,23.257,99.9917,86.5555,
514.555,21.6244,20.8011,925.935,447.233,7.40266,92.0303,165.607,
523.392,16.3513,20.8972,35.8176,238.161,0.00770362,93.6108,6.40612,
529.301,13.6453,20.8591,963.943,5221.98,5.81135,94.6677,172.405,
532.561,18.9663,19.6201,539.96,3223.33,21.2699,95.2508,96.5741,
519.063,17.0002,21.7592,46.0806,187.367,0.00337297,92.8366,8.24171,
505.524,12.7519,13.384,128.261,72.447,22.4412,90.4151,22.9399,
504.305,20.5565,21.8348,919.71,588.665,7.75788,90.197,164.494,
582.593,13.479,19.7931,50.7461,157.491,2.19853,104.199,9.07616,
560.592,16.4946,18.9513,-127.24,242.793,-0.646388,100.264,-0,
518.368,16.4158,21.681,37.7883,202.677,0.0128406,92.7122,6.7586,
517.628,14.3534,14.5728,135.188,82.8447,20.6814,92.58,24.1789,
663.946,-11.2091,24.489,871.995,302.806,6.30324,118.749,155.96,
550.464,18.2369,17.2359,83.0533,117.758,6.95047,98.4528,14.8544,
183.77,-7.25197,21.6366,23.6457,77.5416,5.43138,32.868,4.22914,
534.679,18.3561,20.4301,593.167,1497.66,20.1669,95.6296,106.09,
570.022,11.0369,10.395,194.528,72.7702,22.1158,101.951,34.7921,
-839.055,55.4061,74.3642,1390.01,0,63.4187,-150.069,248.61,
533.765,15.3874,21.0006,45.4465,217.516,0.00329557,95.466,8.12829,
581.754,6.43889,5.1243,291.157,52.5335,21.6114,104.049,52.0746,
555.917,17.5695,15.0684,107.134,102.524,16.3856,99.428,19.1614,
531.916,13.801,17.4962,63.9517,102.482,16.1442,95.1353,11.438,
517.104,15.0974,22.2143,813.236,452.773,8.21107,92.4862,145.451,
530.81,16.4398,19.7016,17.824,222.937,5.99436e-06,94.9376,3.1879,
526.112,16.2399,20.9236,400,2.5052,-8.30272,94.0973,0,
633.894,9.66415,5.98001,264.549,62.65,21.7889,113.375,47.3157,
550.9,13.9906,20.1695,61.58,142.826,1.69548,98.5307,11.0138,
545.175,15.677,16.1784,79.5722,107.685,17.8212,97.5068,14.2318,
560.937,17.4733,18.6482,87.9989,122.872,6.76821,100.326,15.739,
519.039,11.976,21.4304,834.136,1117.89,6.97866,92.8323,149.189,
545.228,16.0626,20.5585,143.65,2919.7,21.8049,97.5163,25.6924,
886.871,0.039375,0.113248,625.047,7.52869,20.0062,158.621,111.792,
524.473,19.2704,20.3531,126.361,1137.67,26.0525,93.8042,22.6002,
523.733,17.6059,19.83,5.70539,307.418,0.000458954,93.6718,1.02043,
548.582,16.9615,20.1846,603.532,2383.53,20.2781,98.1162,107.944,
546.645,14.65,20.368,352.432,3543.19,28.2736,97.7698,63.0338,
521.29,20.885,19.4466,107.933,1007.85,23.0852,93.2349,19.3042,
512.367,16.1897,20.5305,562.968,1577.05,21.1357,91.639,100.689,
532.68,15.3728,20.5347,90.7209,3500.69,19.7156,95.272,16.2258,
518.701,18.481,20.1332,643.542,798.119,20.5551,92.7719,115.1,
543.827,16.7005,20.785,623.779,2798.48,19.6181,97.2658,111.566,
617.82,9.77404,18.1996,34.0415,132.863,10.1912,110.5,6.08847,
536.26,14.3691,20.7832,361.694,2263.95,6.92828,95.9124,64.6905,
503.149,19.3879,20.477,304.097,4883.93,8.18373,89.9903,54.389,
518.507,21.2221,21.0733,514.439,4364.79,22.3704,92.7372,92.0096,
541.947,16.3858,20.585,59.0951,167.377,0.000120725,96.9295,10.5694,
560.05,12.081,19.2824,564.808,1004.14,20.4505,100.167,101.018,
547.461,16.7095,19.8099,70.9059,162.815,1.17705,97.9157,12.6818,
510.188,19.1839,20.1944,622.908,2359.74,19.0028,91.2493,111.41,
590.122,11.2214,10.9351,143.174,72.7894,23.086,105.546,25.6072,
546.7,12.2378,21.2294,915.678,402.801,7.63319,97.7796,163.773,
516.989,6.85142,31.2812,737.07,117.863,9.49725,92.4657,131.828,
