Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
2429.63,20.9054,18.9679,183.767,6512.06,6.67841,434.55,32.8674,
2444.21,20.6662,18.8372,95.5947,1933.32,22.8021,437.157,17.0975,
2212.71,18.9071,18.4714,769.95,4812.51,-10.5519,395.753,0,
2530.25,21.3655,18.0536,124.297,7679.11,17.4611,452.546,22.2311,
2549.61,20.6746,17.6406,66.4516,1759.67,26.9094,456.007,11.8851,
2509.21,20.5341,18.003,132.676,2895.31,20.0903,448.783,23.7297,
2415.81,22.4394,18.2905,136.116,588.86,8.89544,432.077,24.3449,
2394.29,21.3591,18.8653,128.985,4850.44,18.6422,428.228,23.0695,
2473.25,20.3179,18.7377,123.225,6344.56,20.618,442.351,22.0393,
2197.33,17.159,18.955,-867652,773.282,-3.8976,393.002,-0,
2494.2,20.8455,18.5087,125.387,3298.66,22.3225,446.097,22.426,
9.65293e+08,2.51502,0.00399717,1064.09,77.5061,24.9407,1.72647e+08,190.317,
765.514,72.0448,19.5763,3154.65,0,12.3351,136.915,564.223,
-2344.99,-2.33851,-4.84888,1336.32,62.5522,23.6757,-0,239.006,
2541,20.6824,18.3093,124.714,6035.66,21.6531,454.468,22.3056,
2563.47,18.9363,18.0837,117.886,6454.24,23.7634,458.487,21.0844,
2485.78,20.0307,17.9352,127.742,3780.58,13.088,444.592,22.8473,
2559.4,17.025,14.0756,476.385,97.4852,18.0622,457.759,85.2034,
2488.92,21.028,17.7899,106.811,6848.8,22.5283,445.155,19.1037,
2463.88,21.5097,18.6253,121.632,6260.95,21.9753,440.675,21.7545,
2550.11,18.9404,17.6585,135.697,11696.6,19.7915,456.098,24.2699,
2571.97,19.7709,17.9068,137.794,5382.9,19.1928,460.007,24.645,
2512.82,19.5861,18.0751,138.644,3349.68,18.0172,449.429,24.797,
1284.78,20.1716,18.5777,109.777,12068.6,24.3162,229.789,19.634,
2491.89,19.4424,18.41,112.841,14493.1,24.493,445.685,20.182,
2548.91,19.5467,18.5758,-377.83,6254.74,-193.198,455.884,-0,
2461.96,19.8386,18.6375,81.9131,1979.61,25.6713,440.332,14.6505,
-95.3825,-2.32414,-25.9468,119.142,1257.12,20.4194,-0,21.3091,
2380.14,20.8001,19.199,202.712,10330.3,6.53368,425.699,36.2559,
2446.82,21.9567,18.1524,102.692,2314.34,24.7416,437.625,18.3669,
2548.5,18.7847,18.4674,110.813,10457.5,20.7254,455.809,19.8193,
2512.6,20.5501,18.2268,122.77,3384.08,23.7351,449.389,21.958,
2517.94,20.0318,18.2426,116.813,5644.49,24.4955,450.345,20.8924,
2505.36,21.4734,18.2628,128.375,13526.9,20.4828,448.095,22.9604,
2408.24,21.2211,18.4947,113.757,19668.8,23.1227,430.724,20.346,
2606.49,18.1513,18.1688,112.662,2829.28,22.1733,466.181,20.1501,
2461.49,19.0961,18.9349,147.425,558.176,9.16333,440.248,26.3676,
2479.96,19.7288,18.2313,113.481,4420.33,22.8478,443.551,20.2965,
2717.42,10.4462,7.95032,1071.59,62.5287,20.1054,486.022,191.658,
2431.36,21.7117,18.421,168.594,3604.97,8.75466,434.858,30.1537,
2463.84,21.9766,17.9095,116.811,878.153,18.1894,440.669,20.8921,
2442.63,20.3484,18.2263,102.338,1504.16,18.457,436.875,18.3035,
2554.08,21.1701,17.7116,105.95,3833.71,23.259,456.807,18.9495,
2485.62,20.6768,18.1437,75.8882,1555.07,32.5809,444.564,13.5729,
