Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
270.535,21.1871,21.0697,62.5152,117.519,1.71125,48.3862,11.1811,
1415.14,12.7724,12.1667,316.441,82.6432,21.3368,253.104,56.5967,
1396.69,15.5971,15.4814,155.858,107.649,17.7472,249.804,27.8759,
1285.77,18.2506,19.4338,589.623,1934.84,21.3102,229.965,105.457,
1244.54,18.8749,19.6819,32.168,302.863,0.576821,222.591,5.75339,
1146.57,-24.7031,57.4553,-366.434,107.41,82.0209,205.07,-65.5382,
1300.79,17.3616,19.0776,517.643,2519.05,21.5452,232.652,92.5827,
1325.18,18.6742,18.6131,482.835,947.282,23.4433,237.015,86.3571,
1374.11,17.6349,17.3348,102.647,152.595,8.99363,245.764,18.3589,
1249.91,20.845,19.4469,836.736,1291.97,6.68032,223.552,149.654,
1290.71,17.5351,19.3503,82.2017,303.452,3.17338,230.849,14.7021,
1354.98,17.8569,18.0127,77.3929,162.645,9.87235,242.345,13.842,
1277.29,18.67,19.9097,825.202,453.493,7.57884,228.448,147.591,
1260.36,18.5839,19.8585,531.964,1932.7,21.7305,225.421,95.144,
1251.4,22.1405,19.6105,239.83,662.602,19.8563,223.818,42.8946,
1298.82,18.8213,17.6865,117.935,142.62,11.9544,232.299,21.0931,
775.082,4.03652,2.91058,1017.65,32.5948,20.2782,138.627,182.011,
1264.75,21.7358,18.8219,562.093,899.306,19.7755,226.206,100.533,
812.936,15.0774,20.9937,848.219,448.138,7.65485,145.397,151.708,
800,0,1,400,0,1,143.083,71.5417,
1230.58,20.3064,19.346,163.377,10702.8,20.9307,220.094,29.2207,
1290.63,21.288,18.2107,15.3506,417.867,0.00121281,230.834,2.74551,
1384.28,11.8322,21.3195,828.747,402.214,8.35648,247.584,148.225,
1291.96,17.8531,17.3255,125.309,122.69,13.6115,231.072,22.4121,
1257.32,21.7398,18.911,198.725,2942.94,21.1641,224.876,35.5428,
1267.25,22.0237,18.1692,282.13,1328.04,20.8622,226.653,50.4601,
-34.1519,311.941,73.9613,1436.13,0,24.3325,-6.10821,256.858,
1294.88,17.5209,17.0787,177.522,122.562,12.67,231.595,31.7505,
1370.81,14.071,19.4413,576.751,8650.98,20.4362,245.175,103.154,
1235.29,20.4155,19.6933,185.173,2118.21,24.1987,220.936,33.119,
1317.68,17.1726,19.2061,580.294,2879.66,20.8261,235.672,103.788,
1358.03,17.9856,15.2674,206.071,112.809,14.3842,242.89,36.8567,
1267.47,17.8428,19.7969,922.778,1264.22,6.71463,226.693,165.043,
1274.15,15.918,19.8967,585.342,3194.09,19.9722,227.888,104.691,
1342.28,5.21859,24.0184,729.719,282.408,9.99417,240.073,130.513,
1252.82,20.3339,19.4361,45.6064,6907.24,27.1642,224.072,8.15689,
800,0,1,400,0,1,143.083,71.5417,
1367.22,18.1487,15.2498,205.796,112.501,16.1467,244.533,36.8075,
1241.51,18.1114,19.9915,182.993,773.832,25.2445,222.05,32.729,
-402.738,213.876,-0.0689352,427.584,212.606,21.5612,-0,76.4752,
742.152,19.8897,21.4742,784.139,537.162,7.8396,132.737,140.246,
1324.97,17.7796,19.2929,772.881,513.188,7.83513,236.976,138.233,
1305.28,18.9104,18.9425,-42811.5,248.176,-4.97469,233.454,-0,
1256.96,20.1896,19.6076,599.827,1604.27,18.8966,224.812,107.282,
1296.02,19.2586,18.8812,605.902,9269.8,20.4297,231.799,108.368,
559.731,56.1399,20.9061,1554.42,0,10.2124,100.11,278.015,
1263.73,19.9263,19.5157,-508006,553.882,-0.495783,226.023,-0,
261.966,76.7542,19.3174,1211.35,0,13.6703,46.8537,216.654,
1284.38,20.027,18.7092,569.799,2048.94,21.6264,229.717,101.911,
1262.9,20.3387,19.4155,548.051,8990.08,20.7036,225.876,98.0212,
1255.3,17.2046,20.0752,873.436,422.973,7.56289,224.515,156.218,
417349,-5195.56,51.07,-161.588,997.082,516.159,74644.6,-28.9007,
1303.84,8.89881,24.3749,781.047,177.638,7.66652,233.196,139.693,
1268.12,18.9549,19.226,517.478,1983.52,20.778,226.809,92.5531,
1315.76,17.7716,18.2478,105.324,227.62,-14.9626,235.329,0,
1233.2,20.4546,19.1787,855.26,2950.04,7.93896,220.563,152.967,
1300.71,18.6959,18.5116,138.602,152.866,5.37481,232.637,24.7896,
457.046,57.9668,22.0128,1543.72,0,10.6385,81.7446,276.101,
1310.77,13.3576,19.9262,713.183,142.403,12.7476,234.437,127.556,
1278.72,18.3974,19.4264,357.838,902.82,23.5512,228.705,64.0009,
1290.05,18.9939,18.6649,38.3052,5169.27,25.4888,230.731,6.85104,
1441.36,11.5092,8.50911,485.222,67.4787,21.3872,257.792,86.7839,
1272.56,17.2461,19.6515,-40873.8,263.257,-5.2497,227.603,-0,
-497.941,298.354,0.00266657,192.445,318.436,22.4249,-89.0588,34.4196,
1332.38,17.5544,19.3506,612.54,3247.07,21.5375,238.301,109.555,
1248.03,22.0534,18.7206,-563.097,4473.98,-2.34349,223.215,-0,
800,0,1,400,0,1,143.083,71.5417,
866.074,4.2641,1.66037,1111.28,27.524,19.5428,154.901,198.756,
1304.36,18.096,17.21,133.857,137.563,11.9389,233.291,23.9409,
3181.72,-117.395,47.5395,-347.83,142.569,102.317,569.065,-62.2109,
1307.93,17.7022,19.1681,614.071,3430.64,20.149,233.93,109.829,
1256.11,19.0562,19.0318,204.192,3950.51,21.8114,224.66,36.5205,
1262.94,18.0965,19.7912,212.406,4124.52,22.8528,225.882,37.9897,
800,0,1,400,0,1,143.083,71.5417,
1369.2,10.0939,21.5624,798.866,377.608,8.15034,244.888,142.881,
1320.57,18.2138,18.9447,553.428,2616.83,20.4851,236.189,98.983,
1307.35,18.7527,16.7353,164.697,117.467,14.1392,233.825,29.4567,
1270.78,21.5805,18.8554,648.143,1124.21,18.7731,227.284,115.923,
1185.46,18.9902,19.9548,693.161,929.005,10.8072,212.024,123.975,
1307.92,18.5824,19.0843,493.138,1769.69,21.818,233.927,88.1998,
1143.75,20.4375,19.1229,566.909,4088.97,20.9532,204.564,101.394,
1290.62,19.3254,18.9569,109.105,163.128,3.21296,230.833,19.5138,
1353.51,11.7171,10.3298,447.984,72.6799,20.3819,242.081,80.1239,
1303.81,19.136,17.1409,122.991,132.874,10.201,233.191,21.9974,
1314.44,18.025,17.1719,154.185,127.792,11.5236,235.093,27.5766,
1299.26,15.4651,17.679,679.095,127.554,16.2663,232.377,121.459,
-1844.93,57.3102,78.0436,3085.14,0,65.584,-329.973,551.789,
1280.94,19.6563,18.8979,588.702,3474.92,19.7589,229.101,105.292,
1284.76,19.5511,17.5901,88.1563,142.349,14.1485,229.784,15.7671,
441.338,62.9683,21.5085,1649.49,0,11.1913,78.9352,295.018,
1266.95,20.5867,19.0001,540.345,7222.65,20.9201,226.6,96.643,
1411.81,10.1558,8.08974,520.971,62.5135,20.581,252.509,93.1778,
1277.6,15.8551,19.899,-631579,4748.42,-63.9959,228.505,-0,
1263.26,18.3949,20.4072,803.945,857,7.87372,225.939,143.789,
1463.93,11.2201,9.63586,454.271,67.6389,20.312,261.83,81.2483,
1347.47,19.055,18.4212,303.102,2458.54,19.9307,241.001,54.211,
1198.29,18.5219,21.0238,-467980,182.64,-25.5351,214.319,-0,
1212.27,13.7424,22.587,785.72,408.322,8.13413,216.819,140.529,
1213.32,19.2946,20.1651,27.9443,233.02,0.00394853,217.007,4.99795,
1259.93,19.5869,19.4298,884.655,4052.35,5.85677,225.344,158.224,
1283.37,18.983,19.1144,901.46,9979.47,6.12557,229.536,161.23,
620.179,49.6825,21.0073,1320.8,0,9.57071,110.922,236.231,
1242.95,20.2179,19.7203,47.2253,237.437,3.01805,222.307,8.44644,
1245.52,22.7132,18.8004,387.232,2257.63,26.119,222.767,69.258,
270.524,63.783,22.5892,1075.7,0,11.6946,48.3844,192.394,
1324.62,20.5231,18.3372,331.733,10317.1,8.48623,236.914,59.3318,
1311.22,19.8909,17.4972,117.746,142.625,11.5879,234.516,21.0594,
1279.06,21.0714,19.044,609.77,7270.57,21.154,228.765,109.06,
1266.68,19.5132,18.997,602.298,5263.07,19.9147,226.551,107.724,
1399.95,15.259,12.6052,730.875,102.878,19.7671,250.388,130.72,
1246.6,19.7559,19.3462,529.055,5733.97,21.928,222.96,94.6236,
1291.36,21.2199,18.4291,603.568,4880.11,19.9374,230.964,107.951,
1273.33,19.4967,19.4772,314.334,1402.89,6.23749,227.74,56.22,
-100.537,143.539,101.358,1358.61,0,32.0857,-17.9814,242.993,
1344.66,16.4967,19.3834,107.524,187.957,-17.8142,240.498,0,
484.312,15.0048,20.1347,32.6955,227.463,1.07955,86.6212,5.84773,
1208.18,20.7229,19.5456,549.849,793.466,20.0494,216.089,98.3428,
1422.44,12.6266,10.1956,424.959,72.7359,20.748,254.409,76.0057,
1673.75,-8.20523,21.7658,-543.241,233.107,-23.216,299.357,-0,
1437.17,14.8777,14.7063,666.338,117.595,18.1923,257.044,119.177,
1298.44,17.4255,19.4836,341.195,4752.82,28.9836,232.232,61.0241,
456.151,61.4065,19.8811,1584.7,0,10.7383,81.5846,283.43,
1269.61,18.9978,18.9971,361.102,3921.69,28.3347,227.075,64.5846,
1274.18,18.6065,18.5209,173.039,142.608,3.04183,227.892,30.9487,
1225.52,21.4311,19.0271,558.208,3384.07,21.6558,219.189,99.8378,
1284.11,17.2577,19.0478,539.419,3129.36,21.3616,229.668,96.4773,
1307.73,18.0661,19.1715,94.8458,1428.95,28.7015,233.892,16.9636,
1225.2,21.3437,19.9464,214.515,2718.58,24.6609,219.133,38.367,
1249.28,20.7095,18.7866,92.5807,167.642,6.83279,223.44,16.5584,
1419.18,6.7038,7.07878,634.842,52.5201,20.6614,253.827,113.544,
1289.82,18.6494,19.0632,605.39,2179.87,19.4052,230.689,108.276,
1288.89,18.2182,18.7043,579.466,1850,21.0387,230.523,103.64,
1344.68,15.4462,16.2767,161.528,112.787,15.8673,240.501,28.89,
1353.97,14.8888,15.0624,194.378,102.463,16.8824,242.164,34.7653,
1326.81,18.886,18.637,910.96,2099.67,6.0939,237.305,162.929,
1315.61,14.0612,20.5507,950.899,417.723,5.53209,235.303,170.072,
1237.36,18.682,20.4579,638.44,5637.7,19.5403,221.306,114.188,
1235.53,21.7557,19.3272,561.99,4933.06,21.1924,220.98,100.514,
1237.34,19.7043,19.2473,290.011,167.716,-41.4039,221.303,0,
1281.59,19.2251,18.6067,604.328,829.276,18.9107,229.219,108.087,
1256.7,20.6192,19.3093,111.581,4473.41,22.7666,224.766,19.9568,
1217.31,21.5188,19.7334,496.487,1447.21,20.4403,217.722,88.7987,
1315.16,18.3962,18.9654,572.158,3685.09,21.0256,235.222,102.333,
1286.34,17.8476,19.5584,198.062,777.173,20.5963,230.067,35.4242,
1242.74,19.8912,19.5318,117.979,2085.16,20.6856,222.269,21.101,
1315.24,19.7257,18.1563,310.209,4602.93,24.2509,235.236,55.4822,
1342.23,18.6638,17.8108,98.5083,263.224,-4.39536,240.064,0,
800,0,1,400,0,1,143.083,71.5417,
800,0,1,400,0,1,143.083,71.5417,
1281.12,20.0372,18.551,590.16,4367.56,19.8776,229.133,105.553,
1443.26,8.05627,7.26648,606.905,57.5016,20.3368,258.134,108.548,
3.63088e+06,-2333.88,1.28415,-33724.2,208.282,-4.8313,649397,-0,
1261.16,20.7274,19.0181,559.379,5780.08,20.2294,225.564,100.047,
1311.31,16.6655,18.0528,73.0354,187.582,6.54025,234.532,13.0627,
1278.16,20.8912,18.9971,546.845,857.98,20.682,228.605,97.8054,
1223.46,21.4518,19.263,739.654,6663.38,11.0888,218.821,132.29,
1271.5,21.1581,18.6157,544.029,3108.68,21.5066,227.413,97.3018,
1321.3,13.4367,22.2066,853.584,338.363,7.71801,236.32,152.667,
1303.83,16.9095,19.2281,515.18,2253.48,21.7975,233.195,92.1421,
1204.06,16.9097,20.9686,77.5153,337.345,4.20428,215.35,13.8639,
1287.39,19.3703,18.9245,355.727,1868.61,28.0251,230.254,63.6233,
1252.21,19.1997,18.2077,118.854,132.514,12.3582,223.963,21.2575,
1274.36,19.3252,19.667,119.966,162.918,2.54269,227.925,21.4564,
1298.05,17.2935,19.5428,561.195,3305.52,20.4923,232.161,100.372,
1310.46,17.9261,19.421,883.785,662.953,7.48376,234.382,158.069,
1257.31,18.9971,19.6775,578.327,3932.77,19.201,224.875,103.436,
-2051.88,60.4877,82.0744,3307.57,0,70.3366,-366.987,591.573,
1263.3,16.8317,20.0916,406.789,10568.4,24.155,225.947,72.7559,
1350.63,14.3629,13.2133,297.542,87.6771,19.3908,241.566,53.2166,
1400.69,14.6038,14.6603,231.445,97.7587,17.6892,250.519,41.3949,
1329.23,16.6027,15.0963,192.507,102.827,19.0827,237.738,34.4307,
1272.49,17.9486,19.2489,592.48,3945.5,20.9107,227.59,105.968,
1248.94,17.927,19.4677,181.973,1633.76,20.6864,223.378,32.5467,
1232.61,20.1768,18.0366,103.85,142.44,9.27625,220.457,18.574,
1261.31,19.347,19.375,-640129,12630.3,-65.7497,225.59,-0,
484.272,-0.833484,-0.552613,542.024,6433.87,21.5228,0,96.9433,
1272.85,16.8985,19.9995,62.2549,257.673,-2.95912,227.654,0,
1363.78,17.3546,15.3211,180.13,102.704,17.0872,243.917,32.217,
1309.44,11.6844,21.7905,288.608,258.324,9.73922,234.198,51.6188,
464.601,11.4402,17.7983,40.999,112.866,14.8809,83.0957,7.33285,
1356.99,15.5998,19.4002,382.84,3878.09,27.5772,242.703,68.4725,
1366.53,10.3833,9.42366,488.421,67.437,20.3549,244.41,87.3562,
1302.65,17.5066,19.6797,40.2948,313.16,-11.0138,232.984,0,
1243.96,19.6775,19.2448,-45957.8,267.339,-4.2489,222.488,-0,
-1297.97,72.3269,78.694,2503.52,0,63.0655,-232.147,447.764,
