Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
2098.53,19.8281,18.1094,552.254,15800.7,22.2419,375.331,98.7729,
1953.23,18.6986,19.6935,21431.4,187.486,-6.39678,349.344,0,
2022.36,19.305,18.8688,288.056,3012.44,21.3666,361.707,51.52,
2117.68,14.4654,13.0272,457.046,87.4358,19.4568,378.756,81.7446,
2023.98,18.0314,20.3126,793.669,432.99,8.07244,361.997,141.951,
2190.94,15.9138,13.9082,388.039,97.5205,18.6219,391.858,69.4025,
2341.74,9.50947,8.80641,803.783,67.6089,19.9277,418.829,143.76,
2063.34,19.7601,17.926,597.691,3411.91,19.7007,369.036,106.899,
2074.08,20.6284,18.2781,592.437,1419.45,20.1988,370.959,105.96,
2006.74,20.3109,18.9616,603.398,4727.77,19.8795,358.914,107.92,
751.984,61.8394,21.1888,2464.54,0,10.7978,134.496,440.794,
2022.59,19.1199,18.7597,152.186,7396.82,22.935,361.749,27.2192,
2027.34,12.7671,22.6415,726.112,292.993,8.58893,362.598,129.868,
2044.79,20.8357,18.0045,143.149,167.851,4.41857,365.718,25.6029,
2092.4,17.8472,15.5834,280.611,122.732,15.0307,374.234,50.1884,
2084.1,18.3566,18.3187,438.252,893.842,24.0541,372.75,78.3832,
1662.44,18.481,17.861,77.2922,167.9,9.77017,297.335,13.824,
1987.07,19.6282,18.9645,550.866,2047.95,20.3521,355.396,98.5246,
1942.41,21.4247,18.5467,625.347,1482.5,18.6264,347.408,111.846,
2050.94,19.632,18.4536,554.534,5884.82,21.4134,366.82,99.1808,
2058.44,19.0319,18.3865,496.963,1319.29,22.2909,368.161,88.884,
2004.37,18.5467,18.721,767.843,604.126,9.54535,358.489,137.332,
2015.44,20.3458,18.633,177.431,2649.51,23.0398,360.471,31.7343,
2054.45,19.0594,18.4865,389.687,2713.92,-73.5834,367.446,0,
1799.22,19.8745,17.9336,2242.52,4810.18,-63.9864,321.797,0,
2087.22,10.6193,22.4463,697.2,297.428,9.25169,373.309,124.697,
1995.09,19.4106,18.5891,578.632,847.825,18.6278,356.83,103.491,
2035.39,19.3011,18.4667,571.573,2504.28,19.9355,364.038,102.228,
2013.55,19.2532,19.4537,458.63,10745.2,24.9674,360.132,82.0279,
2088.05,19.8909,17.5863,144.572,162.678,7.47644,373.457,25.8574,
2043.23,14.0627,21.2451,763.806,363.428,8.37222,365.439,136.61,
36525.2,-225.586,23.3644,-560.101,162.48,116.33,6532.69,-100.176,
1877.78,20.2717,17.9834,297.914,4758.41,22.4846,335.848,53.2832,
1615.67,19.3175,19.6696,547.76,9865.33,20.9011,288.968,97.9691,
1977.95,20.3025,18.199,95.4334,167.706,7.80961,353.764,17.0687,
2045.79,20.2248,18.3058,46055.6,237.365,-1994.15,365.898,0,
2102.36,18.7848,18.6701,491.778,7461.9,22.3599,376.016,87.9565,
1920.8,21.7608,18.5487,452.159,1003.97,23.6699,343.542,80.8705,
2023.81,19.8266,18.2941,290.873,7793.15,23.8471,361.967,52.0238,
323.151,8.97441,21.9447,283.152,5729.34,21.2165,57.7969,50.6429,
1986.38,20.6992,19.0459,597.445,3599.41,19.0456,355.272,106.856,
1958.55,19.6218,19.6063,760.455,532.662,9.2223,350.296,136.01,
1962.72,18.5233,18.7652,600.125,4050.06,20.2944,351.04,107.335,
2018.55,20.0492,19.1208,354.991,6761.8,6.15721,361.027,63.4915,
1491.05,19.326,19.5976,368.315,1164.78,26.8375,266.681,65.8746,
2212.8,15.1377,13.0581,438.787,87.4673,19.3755,395.769,78.4789,
800,0,1,400,0,1,143.083,71.5417,
2023.93,18.9069,18.8124,23861,3118.25,-14.2223,361.989,0,
2176.01,0.089241,25.0506,-1.09121e+06,307.827,-279.663,389.188,-0,
2149.99,17.8298,16.2119,230.723,122.395,15.2777,384.535,41.2657,
2027.98,20.5235,18.8627,589.588,2924.97,20.7765,362.713,105.45,
643.82,67.4168,20.0798,2575.68,0,11.7693,115.15,460.671,
2139.7,15.796,14.7126,372.362,102.551,15.921,382.694,66.5984,
3398.59,-75.0535,56.474,-662.009,137.716,96.4774,607.851,-118.403,
2257.8,9.49087,8.46706,846.195,62.5075,19.5712,403.817,151.345,
1937.95,19.3939,19.0279,567.232,5669.16,21.9822,346.61,101.452,
2047.01,20.8312,17.5817,106.431,162.482,7.41138,366.117,19.0356,
1931.86,20.8209,18.842,-583554,278.043,-463.138,345.521,-0,
2047.15,20.7806,17.3766,94.0324,177.426,8.67136,366.142,16.8181,
888.311,56.3215,20.0689,2395.47,2.5006,9.14961,158.878,428.439,
2081.61,19.2307,18.2272,603.909,5028.81,20.2574,372.305,108.012,
2040.11,19.989,18.131,164.739,1207.72,21.0755,364.882,29.4643,
1937.79,20.9451,18.4922,274.907,16430.8,23.0136,346.581,49.1682,
2085.55,19.9894,17.9071,616.599,6339.33,20.454,373.01,110.281,
2027.89,19.6212,18.036,15579.8,212.722,-69.9097,362.697,0,
2015.49,17.9728,19.3169,869.58,1238.75,6.11515,360.478,155.528,
2139.3,16.8972,16.4742,174.149,127.71,14.1373,382.623,31.1472,
2032.67,16.9214,20.1003,682.907,172.789,11.7038,363.552,122.141,
2061.1,19.621,17.8052,886.619,2008.21,6.12621,368.637,158.575,
549.202,20.9462,21.2442,41.1273,162.596,6.085,98.227,7.3558,
8541.9,-81.4619,71.0979,-4362.31,0,90.7637,1527.75,-780.218,
1950.43,18.8379,18.9419,98.4828,82.6482,-1.10024,348.842,0,
2114.25,17.1632,15.2383,287.344,112.707,18.8261,378.143,51.3926,
2993.05,-42.9959,36.1929,-231.697,183.173,92.6279,535.319,-41.44,
885.437,53.6551,20.8825,2446.12,0,9.46355,158.364,437.499,
1993.69,19.9204,19.0735,1368.8,222.52,-35.693,356.579,0,
1945.08,21.1862,18.7568,447.99,1218.8,23.5655,347.886,80.1248,
2301.57,16.6343,13.8587,346.683,107.504,15.6759,411.645,62.0057,
2064.11,8.69639,7.28454,962.177,57.53,21.2765,369.174,172.089,
2019.27,20.2706,17.9846,169.441,3763.36,22.756,361.155,30.3052,
2172.3,16.6354,14.9562,346,107.488,16.0194,388.524,61.8835,
2061.11,19.4539,18.2646,555.02,1267.94,20.2854,368.639,99.2676,
1968.22,19.3818,18.9784,360.005,6271.74,27.6764,352.025,64.3884,
-162.583,-44.4186,71.0904,952.708,0,28.6256,-29.0786,170.396,
1979.02,21.8461,18.5251,488.646,333.289,-20.567,353.957,0,
2042.8,21.3206,18.4106,858.501,673.807,7.65228,365.364,153.546,
1999.65,19.8342,19.1918,597.444,1199.44,19.0583,357.646,106.855,
2108.08,18.851,15.6939,275.057,122.888,14.5299,377.039,49.1951,
1989.49,20.8892,18.9367,48.0984,4594.22,44.8884,355.829,8.6026,
2020.85,19.004,18.7598,219.043,6806.81,21.3708,361.438,39.1768,
2006.47,19.8043,18.4012,514.623,3009.81,19.3936,358.865,92.0424,
9805.29,-118.138,26.2875,-274.286,187.398,102.224,1753.72,-49.0573,
2059.31,19.27,16.7736,170.761,132.797,15.2061,368.317,30.5413,
2246.42,16.0796,13.8832,351,102.514,17.2089,401.781,62.7777,
2063.29,19.5887,18.3913,541.754,3120.21,21.9213,369.028,96.895,
-39386,-0.706828,-6.668,629.203,1997.11,19.6618,-0,112.536,
2090.35,18.3424,18.7842,225.642,4235.43,20.0247,373.868,40.3571,
2002.84,21.4953,18.1069,539.095,1758.28,20.3718,358.217,96.4193,
24489.5,-154.241,19.8267,-332.87,173.008,110.427,4380.05,-59.5351,
720.726,19.6011,20.1444,142.435,6342.81,19.2995,128.905,25.4751,
2078.48,19.5252,17.9597,386.29,1731.82,-67.2389,371.745,0,
2040.26,18.5526,19.7815,733.516,452.89,8.83076,364.91,131.192,
2048.13,19.0642,18.2873,857.629,528.226,7.60485,366.317,153.391,
2005.3,18.3253,19.1405,70873.4,192.575,-1047.83,358.657,0,
1618.32,19.2989,19.2516,123.721,6289.63,24.4204,289.444,22.128,
2198.72,5.91802,4.90634,1289.91,47.6311,19.1513,393.25,230.706,
2082.23,20.3863,18.5417,419.316,3363.87,25.1201,372.415,74.9964,
1987.57,18.3092,19.1483,916.87,838.413,6.0536,355.485,163.986,
1842.97,24.9946,18.4036,41723.1,212.378,-3.39837,329.622,0,
2054.06,15.5894,18.9811,156.475,122.425,17.391,367.377,27.9863,
2038.62,20.697,18.9536,546.476,3527.55,21.6606,364.615,97.7396,
2330.57,10.1801,7.97669,1182.78,67.5395,19.6839,416.832,211.544,
949.249,52.4974,19.96,2241.16,0,9.21282,169.777,400.841,
2046.6,20.3663,18.6919,539.015,2425.23,21.6392,366.042,96.4051,
2092.79,13.8148,21.7916,793.015,257.811,7.82051,374.305,141.834,
1978.72,20.4231,18.7221,279.289,2525.02,21.7909,353.903,49.952,
2048.07,19.2523,18.3516,185.453,872.141,10.591,366.305,33.169,
11910.1,-188.749,19.3999,-153.417,152.749,100.53,2130.17,-27.4393,
2018.94,19.2108,19.4277,767.848,802.273,7.53592,361.096,137.333,
2207.9,10.8112,9.0959,757.972,67.6622,21.153,394.892,135.566,
710.073,66.621,21.003,2456.88,2.49839,10.7371,127,439.423,
2070.72,20.7619,17.4773,148.407,152.639,9.60812,370.357,26.5431,
2145.74,15.398,13.0956,446.317,87.5309,19.0583,383.774,79.8257,
599.464,20.0857,20.4308,542.538,1399.36,22.1493,107.217,97.0353,
2007,19.5836,18.6029,864.771,6044.65,6.84526,358.96,154.668,
728.534,63.2498,19.2857,2647.89,0,10.7636,130.301,473.586,
2006.81,21.1963,18.5737,592.769,1087.73,19.9423,358.926,106.019,
2076.41,20.2173,18.2684,440.292,1564.27,23.4051,371.374,78.7481,
2868.48,-24.0417,26.1493,-28.5166,298.124,312.971,513.039,-5.10032,
2052.6,20.4299,18.6022,300.058,778.454,28.8167,367.116,53.6666,
2004.84,20.2257,18.6015,548.505,4640.17,20.8905,358.574,98.1024,
2051.78,18.4758,18.71,563.247,1399.41,21.1505,366.969,100.739,
1994.54,19.3383,18.3922,692.863,662.107,11.6791,356.731,123.921,
920.808,53.4523,19.9631,2386.22,0,9.28151,164.69,426.785,
940.073,52.7639,19.129,2336.98,0,9.29849,168.136,417.979,
2064.69,13.818,22.0906,776.904,267.532,8.99399,369.278,138.952,
1838.27,13.0938,21.9446,30081.5,267.89,-0.391709,328.782,0,
1977.45,20.7372,18.5027,556.924,8926.67,20.4881,353.675,99.6082,
2045.88,20.0522,18.6462,529.005,1079.55,21.4256,365.914,94.6148,
2096.67,16.7689,20.2151,490.505,433.232,-80.0307,374.999,0,
2017.86,19.9916,19.136,367.341,4992,25.1831,360.902,65.7005,
5717.61,-99.5784,34.5663,-320.594,172.463,100.23,1022.62,-57.3397,
1234.38,18.6357,16.7993,130.294,127.886,13.4671,220.774,23.3035,
1936.75,23.3217,18.8848,577.688,5629.01,20.0637,346.395,103.322,
