Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
2945.53,15.866,13.2338,1034.36,102.479,18.1551,526.82,185,
2761.8,16.5208,20.9988,232.693,377.771,8.41357,493.959,41.618,
2771.47,18.9372,18.453,463.877,3022.28,23.6579,495.689,82.9662,
2911.88,17.1281,15.3918,356.586,117.489,15.8213,520.803,63.7768,
48839.1,-7.44208,70.2202,-45200,0,72.3173,8735.08,-8084.2,
800,0,1,400,0,1,143.083,71.5417,
2841.39,18.8129,16.6202,260.539,142.97,12.8057,508.195,46.5984,
2849.88,17.9014,15.3269,433.275,107.749,16.1825,509.713,77.493,
2411.69,17.7408,18.3234,711.798,152.533,14.0137,431.341,127.308,
-74.8658,367.63,78.408,2932.04,0,27.9387,-13.3901,524.408,
2798.08,20.7419,18.2248,536.841,1693.42,20.363,500.449,96.0162,
2204.41,19.9398,18.5153,581.028,688.27,19.8182,394.267,103.919,
2834.13,19.5366,16.0722,338.798,132.399,13.4406,506.896,60.5954,
3359.66,26.1036,17.7852,-867.313,37.5908,11.6261,600.889,-155.122,
50861.7,-5.83152,66.8574,-47370.1,0,68.774,9096.84,-8472.34,
4820.18,-53.5463,33.8606,-305.385,172.486,98.6891,862.109,-54.6193,
2677.15,20.7904,19.1353,611.394,5842.23,20.3874,478.82,109.35,
2719.76,22.4397,19.1424,736.79,823.75,9.45924,486.44,131.778,
2752.38,19.0972,19.3995,788.39,523.116,7.78553,492.274,141.007,
7840.37,-95.4343,36.0767,-555.653,132.759,101.156,1402.28,-99.3808,
2558.44,21.6635,18.419,585.895,2909.21,-20.7498,457.588,0,
-201234,0,-1.20168,207.949,2.49732,22.6034,-0,37.1925,
1890.05,18.8632,19.0984,586.215,9572.84,20.9559,338.043,104.847,
2733.7,20.9045,18.6355,-70.0369,1754.04,-14.9655,488.934,-0,
2709.75,20.105,18.6062,359.014,1032.45,26.2641,484.65,64.2111,
2332.44,20.8385,18.3129,280.551,787.117,26.1107,417.167,50.1777,
