Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
3545.76,20.4145,18.1082,78.0166,6780.22,27.2747,634.174,13.9536,
2689.52,21.5083,18.7312,539.493,2724.34,21.7226,481.031,96.4906,
3533.67,21.4223,17.3348,255.25,182.915,7.62903,632.012,45.6525,
3489.35,20.834,17.8597,539.583,3494.25,20.7992,624.085,96.5067,
3942.09,11.8795,9.95922,1180,72.7608,19.703,705.059,211.048,
1555.92,57.3927,18.7261,4363.32,0,9.27354,278.284,780.398,
2877.64,20.0677,18.3983,69.4272,1434.51,17.7945,514.678,12.4173,
3584.37,20.7334,17.5156,600.207,1103.84,18.3531,641.079,107.349,
199.643,6.5456,20.8798,9.68489,273.239,2.58182,35.7069,1.73218,
3622.36,21.2079,17.8567,383.461,4843.22,19.4423,647.875,68.5837,
8007.82,-100.358,53.5994,-1813.03,47.6697,94.6262,1432.23,-324.268,
3467.54,20.2852,18.964,104.241,443.452,5.46308,620.183,18.6439,
3456.29,20.5718,18.7029,855.046,3532.4,7.90715,618.172,152.929,
3453.04,21.9546,17.9249,573.789,3394.07,20.3165,617.59,102.624,
3594.07,20.8462,17.4143,219.532,212.787,2.87907,642.814,39.2642,
1219.95,60.1476,20.4328,3487.32,2.49801,9.51136,218.193,623.722,
1623.07,55.9331,18.8178,4309.01,0,9.07521,290.293,770.684,
1115.27,17.6155,18.875,119.167,157.692,3.6409,199.471,21.3136,
1431.19,62.363,18.2258,4565.52,0,9.70861,255.974,816.563,
3562.08,20.7713,17.6406,142.735,223.206,1.93941,637.094,25.5288,
3345.51,14.7377,12.5292,684.157,87.6983,18.7926,598.359,122.364,
3559.05,20.3465,17.6899,322.417,2083.12,28.9645,636.55,57.6655,
1513.89,59.625,18.8669,4495.73,0,9.56307,270.766,804.081,
3823.35,17.7854,14.168,593.538,107.919,16.4801,683.822,106.157,
3543.29,20.6302,17.5141,175.788,2439.6,24.7596,633.731,31.4405,
3634.21,19.0745,17.0786,227.494,172.989,9.13756,649.993,40.6883,
3819.34,17.0341,13.6189,659.412,102.797,16.8699,683.105,117.939,
3458.88,21.4666,18.142,154.362,4689.49,22.5612,618.634,27.6083,
1637.11,55.2962,18.8874,4272.97,0,9.01448,292.804,764.238,
3496.66,20.0172,17.8927,46.3016,3433.67,29.9378,625.393,8.28124,
3462.32,21.6161,18.0211,494.153,2698.56,22.1954,619.25,88.3812,
1511.03,57.0261,20.5819,4141.19,0,9.56413,270.254,740.669,
3417.78,22.0933,18.3856,518.614,3113.19,21.4326,611.285,92.7562,
3531.9,19.0967,19.226,891.914,457.441,5.32733,631.696,159.523,
3488.04,21.1806,18.3495,602.4,1058.17,18.2361,623.851,107.742,
3044.55,19.9936,18.5764,555.387,3610.16,20.7156,544.531,99.3332,
1759.43,51.9945,19.1557,4113.38,0,8.53544,314.68,735.696,
3488.96,21.3785,17.6204,-921166,252.982,-3.03109,624.016,-0,
1619.12,56.2733,19.2056,4219.34,0,9.13774,289.587,754.646,
3407.89,17.7817,21.1035,687.832,282.36,8.81173,609.515,123.022,
3469.4,20.9836,18.5082,597.205,6660.74,19.3619,620.516,106.813,
3599.09,18.6817,15.3175,481.015,117.599,15.2941,643.712,86.0316,
3501.92,20.7203,17.9404,227.226,3144.44,24.3505,626.334,40.6402,
3957.87,11.9311,9.41855,1242.34,72.7381,19.4396,707.882,222.198,
3860.02,0.34863,24.6836,-77.817,377.198,90.9156,690.382,-13.9179,
3694.91,19.9358,16.0535,308.631,143.004,12.4585,660.851,55.1999,
3508.13,21.6939,17.9847,155.692,5397.14,22.4354,627.444,27.8461,
1488.35,27.7391,18.315,901.396,67.5926,28.0644,266.198,161.218,
3610.94,20.3151,17.458,565.577,4987.09,21.1537,645.831,101.156,
3527.12,21.2872,17.6761,181.12,1970.3,21.8355,630.84,32.3941,
616.356,61.1061,20.4457,2011.38,0,10.7802,110.238,359.744,
3328.24,18.7212,16.0708,335.425,127.736,13.758,595.269,59.9922,
3586.81,19.2234,16.7943,285.01,147.6,11.429,641.515,50.9752,
3637.73,19.9256,15.8066,436.904,127.602,13.3194,650.623,78.1421,
3767.47,17.5022,14.1633,665.142,102.697,15.8904,673.827,118.963,
3533.32,20.7507,17.7251,533.199,1573.07,20.2745,631.949,95.3649,
3089.46,21.2529,18.0145,111.73,4253.3,27.4951,552.562,19.9833,
3559.19,20.3236,17.4948,141.017,207.54,5.18216,636.576,25.2215,
3725.17,16.2302,12.9557,746.69,92.4291,17.52,666.262,133.549,
3633.05,19.6482,17.6991,56.7955,297.694,0.615809,649.786,10.1581,
200.884,-18.757,19.5768,515.014,2922.61,22.7994,35.9289,92.1124,
3488.35,20.4509,17.7303,194.515,177.58,7.69745,623.906,34.7898,
3991.11,11.4485,9.98992,1165.58,72.7597,20.087,713.826,208.469,
1437.82,58.3165,19.9614,4342.06,0,9.81592,257.159,776.596,
790.407,15.388,20.5294,95.631,1087.94,22.4417,141.368,17.104,
3526.66,21.3321,18.3679,-101.541,298.51,-1.65301,630.758,-0,
3462.43,20.6667,18.2558,558.5,1928.91,20.4366,619.27,99.8901,
3788.95,13.8389,11.6744,950.044,82.6014,19.1041,677.67,169.919,
3562.33,20.3499,17.8012,573.856,5023.18,21.1,637.138,102.636,
3477.41,21.2848,17.9902,242.758,798.567,8.13846,621.949,43.4183,
1558.51,56.1052,19.5825,4317.54,0,9.18329,278.745,772.209,
3478.67,21.2305,18.0119,241.862,1142.19,19.0546,622.175,43.2579,
3638.01,19.6781,17.767,73.9564,4330.03,27.3337,650.674,13.2274,
1804.21,16.0484,19.0083,-1.30382e+06,632.476,-181.482,322.69,-0,
3533.1,20.1164,18.1497,-1.12579e+06,3060.31,-11.1669,631.91,-0,
3954.04,10.3117,8.83715,1339.25,67.5891,21.011,707.197,239.53,
3601.58,20.8251,17.555,161.522,203.058,4.52288,644.157,28.889,
800,0,1,400,0,1,143.083,71.5417,
3549.56,21.5295,17.8631,512.076,6559.62,22.6099,634.853,91.5869,
3445.19,15.7313,21.6648,762.25,342.602,7.31373,616.186,136.332,
3428.5,17.2637,20.736,756.99,402.268,8.16797,613.202,135.391,
1371.85,19.1173,18.9719,197.129,1769.49,19.9864,245.361,35.2574,
3577.16,20.3152,17.701,632.827,3742.09,19.2609,639.791,113.184,
-251.469,5257.82,0.489935,564.714,5221.73,20.2858,-44.9762,101.001,
3571.59,20.6314,17.7519,240.225,732.405,20.2015,638.794,42.9652,
3497.52,20.3909,18.2233,169.769,212.652,2.94026,625.546,30.3639,
3487.82,19.7191,18.3962,522.145,1734.1,21.7955,623.812,93.3879,
1609.95,54.2682,19.906,4008.98,0,9.18277,287.946,717.023,
3902.86,12.9818,10.6082,1074.62,77.5889,18.9928,698.043,192.2,
3326.09,11.5654,8.95978,1228.07,67.6504,19.8715,594.886,219.646,
3546.32,21.3845,17.397,535.999,5174.64,21.8393,634.274,95.8656,
1507.38,58.1057,19.3649,4466.76,0,9.47031,269.601,798.899,
3626.96,19.8862,16.19,360.405,147.968,9.78922,648.697,64.46,
3750.25,16.5071,13.1578,713.082,97.5804,17.3569,670.748,127.538,
3548.67,20.7265,17.9256,574.189,1763.52,18.9581,634.695,102.696,
3437.82,19.9629,19.0529,826.338,197.669,10.3661,614.868,147.794,
3429.54,20.6775,18.3209,262.58,2382.14,-7.72166,613.388,0,
1446.54,59.0969,19.8139,4385.07,0,9.66946,258.72,784.287,
3599.45,19.3356,18.2694,883.807,2339.53,8.22438,643.776,158.073,
3540.79,19.6469,17.5647,507.077,3731.9,22.3763,633.285,90.6928,
2788.68,20.2961,17.7987,563.651,3374.12,19.8669,498.767,100.811,
