Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
1087.24,18.2379,18.9024,-22.087,217.832,-4.19646,194.457,-0,
3735.55,10.0502,8.39963,1399.68,67.6574,19.5951,668.119,250.339,
3224.93,21.809,18.1315,92.0372,9895.92,28.2407,576.793,16.4612,
3135.81,22.2686,18.6332,116.007,16289.2,24.7279,560.852,20.7484,
2754.59,19.8089,19.3461,102.373,4325.54,24.9604,492.67,18.3099,
3262.79,19.8043,17.9571,96.1391,15400.3,21.8163,583.563,17.1949,
2463.04,20.6008,19.0781,138.865,1193.95,15.5683,440.524,24.8366,
2951.33,19.319,18.612,164.551,5369.89,7.37875,527.857,29.4306,
9408.98,5091.38,4.78444,39.6489,5308.34,3.84169,1682.84,7.09137,
3244.34,20.224,18.1356,121.408,1264.26,21.2326,580.264,21.7144,
3252.68,21.6368,17.8122,128.817,5288.54,19.3951,581.755,23.0395,
3366.52,21.0497,17.4972,112.855,2391.85,22.4669,602.116,20.1846,
3204.89,20.7111,17.561,103.936,832.685,18.9816,573.208,18.5894,
3184.25,20.7334,18.4013,133.097,5299.71,19.9564,569.517,23.8049,
3162.25,21.0599,18.6686,137.494,2352.28,17.9725,565.581,24.5914,
3289.29,19.8507,18.0189,129.652,8745.87,25.4696,588.303,23.1888,
3225.99,21.0604,18.3861,114.511,6861.97,22.7221,576.981,20.4808,
3644.3,14.0301,11.1275,930.586,82.5208,18.0505,651.798,166.439,
3370.63,19.5919,16.87,90.3831,15395.9,26.7349,602.85,16.1654,
3224.82,19.4966,17.8556,98.7516,10733,26.4637,576.772,17.6621,
3259.32,21.0611,17.7722,80.9683,11492.8,28.8933,582.943,14.4815,
2575.24,20.3763,18.5722,121.101,6092.16,23.1424,460.592,21.6595,
129.147,10.7841,17.9601,17.1725,242.655,2.0676,23.0985,3.07137,
3186.39,20.1945,18.5442,193.121,13788.5,6.54697,569.899,34.5405,
984.812,15.7984,19.3272,115.355,9688.16,23.6734,176.138,20.6317,
3200.02,21.3742,17.7248,93.9925,6844.71,26.6851,572.337,16.811,
3228.75,21.5483,17.8666,115.969,5017.37,21.4533,577.475,20.7415,
3238.7,20.4681,17.7833,158.82,3903.33,11.071,579.255,28.4057,
3253.17,22.0121,17.6799,97.6033,5683.19,28.3835,581.843,17.4568,
2463.98,20.3892,18.3361,107.115,4827.52,19.2739,440.693,19.1579,
3205.64,20.5506,18.1878,104.094,1452.29,21.4525,573.342,18.6176,
6200.26,-71.8324,41.0433,-638.32,137.825,97.4212,1108.94,-114.166,
3229.77,21.1008,17.71,132.835,2082.26,19.1677,577.657,23.7581,
3272.72,20.3896,17.9198,166.858,637.635,5.33488,585.34,29.8432,
1298.5,21.4718,19.143,97.6329,1626.89,25.7767,232.242,17.4621,
3134.41,21.9892,18.3987,113.082,8046.73,25.624,560.602,20.2252,
3252.06,19.617,17.8981,104.348,1627.78,22.3686,581.645,18.663,
1601.84,13.3284,12.9275,351.291,87.716,20.2912,286.495,62.8298,
3260.71,19.7132,18.498,102.991,20580.9,27.7525,583.191,18.4204,
3223.52,19.8532,18.3406,115.707,1072.81,19.438,576.54,20.6947,
3338.96,19.7262,17.4335,113.631,7816.91,24.7999,597.187,20.3234,
3252.2,20.74,17.7262,111.183,11708,20.6065,581.67,19.8856,
2768.09,13.1657,23.3367,-26.0569,397.518,134.151,495.085,-4.66039,
3305.35,20.7304,17.6329,120.634,7708.97,20.7133,591.176,21.5758,
3281.78,20.4005,17.9313,139.087,3897.95,18.6806,586.959,24.8762,
3344.38,19.5453,17.3044,181.209,187.566,6.33867,598.155,32.4099,
3138.82,19.8795,18.2955,94.771,7488.85,22.6429,561.391,16.9502,
3291.15,20.0634,18.148,107.53,1884.53,23.4575,588.636,19.2322,
3260.07,21.4296,18.1488,101.317,31167.7,27.7811,583.078,18.121,
3191.45,21.9609,18.5167,116.632,1227.02,19.6814,570.804,20.86,
3271.51,21.1422,17.738,81.3825,10583.2,24.6875,585.123,14.5556,
3210.92,20.7194,17.8509,119.23,2218.98,22.1012,574.286,21.3247,
3209.9,20.0631,17.5937,124.974,7642.48,19.8815,574.103,22.3521,
3120.16,21.5689,18.6874,100.378,3289.76,24.0657,558.053,17.9531,
3296.58,20.9259,17.8596,90.0528,2295.25,23.4316,589.606,16.1063,
2529.11,11.1689,23.5777,-24.5811,377.743,117.966,452.343,-4.39643,
3222.29,19.4491,18.7451,168.565,2455.09,9.83436,576.32,30.1485,
1730.62,18.7721,19.2136,117.579,7267.43,22.8682,309.529,21.0294,
3351.44,19.1824,17.596,333.005,178.063,9.46437,599.419,59.5594,
3153.89,19.9922,18.0382,91.9622,10177.3,29.1814,564.087,16.4478,
3245.49,20.6362,18.2402,115.205,5925.91,17.3954,580.469,20.6049,
3615.13,12.626,10.8669,1002.84,77.5504,19.2604,646.581,179.363,
3215.33,21.3814,18.1533,124.889,1592.13,18.6567,575.075,22.3369,
3278.86,14.0096,21.758,-23.5552,488.283,133.622,586.438,-4.21295,
3266.31,20.8881,17.7351,97.3392,10820.6,26.1547,584.194,17.4095,
