Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
244.787,16.994,21.7518,121.609,5707.91,18.1438,43.7811,21.7504,
227.03,15.6741,23.2672,130.483,2682.57,19.63,40.6053,23.3374,
292.428,5.88444,20.717,115.58,5619.67,19.9171,52.3019,20.672,
216.845,17.1085,22.077,127.073,4963.18,20.2356,38.7836,22.7276,
250.858,9.36163,22.8024,108.189,2579.07,24.68,44.8671,19.3501,
315.036,0.380945,20.0608,111.284,10393.8,23.6588,56.3454,19.9036,
253.002,4.71948,21.9286,96.8901,27655.7,24.9539,45.2505,17.3292,
236.02,22.8163,20.1238,117.265,4064.4,22.6956,42.2131,20.9734,
246.363,16.3136,22.0703,118.749,3148.4,20.1065,44.0631,21.2388,
246.589,11.3496,22.729,99.1267,1227.1,22.5182,44.1034,17.7292,
257.391,10.6704,20.8472,106.069,5124.41,24.3048,46.0355,18.9708,
278.278,8.73651,19.0539,69.9712,4316.79,30.3256,49.7712,12.5146,
268.823,9.74382,21.4153,109.218,1243.74,21.5924,48.0802,19.5342,
290.33,-3.40748,24.9431,181.369,272.883,5.94947,51.9267,32.4386,
236.977,16.2593,22.0908,119.022,8612.2,19.6662,42.3843,21.2875,
258.151,14.8966,19.7874,138.852,3791.93,19.1447,46.1713,24.8343,
263.669,5.27788,22.0113,125.768,8369.11,21.3393,47.1583,22.4941,
259.536,13.8734,20.6809,110.101,14755,22.3457,46.4191,19.692,
265.177,15.999,20.5857,112.233,1134.56,18.8214,47.4279,20.0734,
262.415,6.25339,22.4423,97.6653,2419.42,20.7031,46.9341,17.4679,
268.651,9.54578,21.151,83.0061,1784.95,27.6523,48.0493,14.846,
-640.092,-4.29217,-97.0386,119.605,62.5202,30.2593,-0,21.3919,
286.062,7.59569,21.5301,117.16,11323.9,22.9594,51.1633,20.9545,
258.156,11.6516,21.9675,122.059,6816.06,22.7409,46.1722,21.8308,
387.049,-31.0946,27.2257,138.456,127.678,8.10416,69.2253,24.7634,
236.574,15.0217,21.3843,130.876,2343.75,21.3561,42.3123,23.4077,
255.88,17.6482,19.7398,108.077,6381.63,23.1629,45.7652,19.33,
262.148,14.3479,20.1641,131.777,4846.88,19.913,46.8863,23.5689,
254.076,14.7899,20.2508,109.229,1962.9,23.4393,45.4425,19.5361,
254.721,13.4732,21.4431,109.507,588.983,17.9812,45.5579,19.5857,
271.205,13.5707,18.8557,111.059,6317.72,21.3875,48.5062,19.8634,
257.325,13.0335,22.0635,43.2251,5715.83,37.3637,46.0237,7.73098,
242.234,13.5728,22.9162,119.913,2779.15,22.7912,43.3245,21.447,
253.839,11.5436,22.3213,106.681,7497.04,24.2767,45.4002,19.0803,
800,0,1,400,0,1,143.083,71.5417,
247.94,13.2992,21.9139,75.2466,7374.43,29.0873,44.3451,13.4582,
800,0,1,400,0,1,143.083,71.5417,
256.459,13.5479,21.3038,67.6945,1789.2,31.3676,45.8687,12.1074,
279.584,5.35938,20.9105,97.6518,3902.82,25.443,50.0047,17.4654,
260.299,12.8049,21.5581,107.248,9432.27,19.6902,46.5555,19.1818,
259.061,6.95947,22.2077,172.33,418.152,8.39112,46.3341,30.8219,
244.132,11.3786,22.5176,147.036,223.064,12.7736,43.6641,26.298,
228.344,21.5823,21.0086,106.012,13323.7,24.9467,40.8403,18.9607,
271.024,11.4319,20.7979,150.192,753.739,15.0012,48.4738,26.8625,
284.902,8.29415,19.312,99.4325,6365.08,25.3556,50.9559,17.7839,
404.667,-15.5628,18.8343,105.271,3880.25,26.7253,72.3764,18.8282,
231.831,22.3544,20.3631,140.419,5939.45,18.2959,41.4639,25.1145,
267.304,11.7036,19.7178,80.2948,4189.62,31.1767,47.8084,14.3611,
278.009,5.11712,22.0647,99.184,8814.48,26.3846,49.7231,17.7395,
269.559,13.9227,20.6311,41.8516,5895.82,31.9751,48.2117,7.48533,
248.646,16.383,20.8475,92.1811,4758.21,23.6769,44.4714,16.487,
283.203,6.68701,21.7632,63.0553,2658.8,34.5559,50.6521,11.2777,
